,rank,name,href,code,nowPrice,totalPrice,volume,sosok,종목토론실,종목분석,투자자별 매매동향,"뉴스,공시",공매도현황,차트,시세,종합정보,전자공시
36,37,SK아이이테크놀로지,https://finance.naver.com/item/main.nhn?code=361610,r.com/item/main.nhn?code=361610,"149,500","106,590","412,529",코스피,https://finance.naver.com/item/main.nhn?code=361610,https://finance.naver.com/item/sise.nhn?code=361610,https://finance.naver.com/item/fchart.nhn?code=361610,https://finance.naver.com/item/frgn.nhn?code=361610,https://finance.naver.com/item/news.nhn?code=361610,https://finance.naver.com/item/coinfo.nhn?code=361610,https://finance.naver.com/item/board.nhn?code=361610,https://finance.naver.com/item/dart.nhn?code=361610,https://finance.naver.com/item/short_trade.nhn?code=361610
37,38,하이브,https://finance.naver.com/item/main.nhn?code=352820,r.com/item/main.nhn?code=352820,"289,000","102,953","409,545",코스피,https://finance.naver.com/item/main.nhn?code=352820,https://finance.naver.com/item/sise.nhn?code=352820,https://finance.naver.com/item/fchart.nhn?code=352820,https://finance.naver.com/item/frgn.nhn?code=352820,https://finance.naver.com/item/news.nhn?code=352820,https://finance.naver.com/item/coinfo.nhn?code=352820,https://finance.naver.com/item/board.nhn?code=352820,https://finance.naver.com/item/dart.nhn?code=352820,https://finance.naver.com/item/short_trade.nhn?code=352820
38,39,두산중공업,https://finance.naver.com/item/main.nhn?code=034020,r.com/item/main.nhn?code=034020,"23,600","99,706","7,112,240",코스피,https://finance.naver.com/item/main.nhn?code=034020,https://finance.naver.com/item/sise.nhn?code=034020,https://finance.naver.com/item/fchart.nhn?code=034020,https://finance.naver.com/item/frgn.nhn?code=034020,https://finance.naver.com/item/news.nhn?code=034020,https://finance.naver.com/item/coinfo.nhn?code=034020,https://finance.naver.com/item/board.nhn?code=034020,https://finance.naver.com/item/dart.nhn?code=034020,https://finance.naver.com/item/short_trade.nhn?code=034020
39,40,삼성화재,https://finance.naver.com/item/main.nhn?code=000810,r.com/item/main.nhn?code=000810,"210,000","99,487","90,256",코스피,https://finance.naver.com/item/main.nhn?code=000810,https://finance.naver.com/item/sise.nhn?code=000810,https://finance.naver.com/item/fchart.nhn?code=000810,https://finance.naver.com/item/frgn.nhn?code=000810,https://finance.naver.com/item/news.nhn?code=000810,https://finance.naver.com/item/coinfo.nhn?code=000810,https://finance.naver.com/item/board.nhn?code=000810,https://finance.naver.com/item/dart.nhn?code=000810,https://finance.naver.com/item/short_trade.nhn?code=000810
40,41,한국조선해양,https://finance.naver.com/item/main.nhn?code=009540,r.com/item/main.nhn?code=009540,"136,500","96,605","305,147",코스피,https://finance.naver.com/item/main.nhn?code=009540,https://finance.naver.com/item/sise.nhn?code=009540,https://finance.naver.com/item/fchart.nhn?code=009540,https://finance.naver.com/item/frgn.nhn?code=009540,https://finance.naver.com/item/news.nhn?code=009540,https://finance.naver.com/item/coinfo.nhn?code=009540,https://finance.naver.com/item/board.nhn?code=009540,https://finance.naver.com/item/dart.nhn?code=009540,https://finance.naver.com/item/short_trade.nhn?code=009540
41,42,한온시스템,https://finance.naver.com/item/main.nhn?code=018880,r.com/item/main.nhn?code=018880,"17,850","95,283","1,522,891",코스피,https://finance.naver.com/item/main.nhn?code=018880,https://finance.naver.com/item/sise.nhn?code=018880,https://finance.naver.com/item/fchart.nhn?code=018880,https://finance.naver.com/item/frgn.nhn?code=018880,https://finance.naver.com/item/news.nhn?code=018880,https://finance.naver.com/item/coinfo.nhn?code=018880,https://finance.naver.com/item/board.nhn?code=018880,https://finance.naver.com/item/dart.nhn?code=018880,https://finance.naver.com/item/short_trade.nhn?code=018880
42,43,롯데케미칼,https://finance.naver.com/item/main.nhn?code=011170,r.com/item/main.nhn?code=011170,"275,000","94,257","262,894",코스피,https://finance.naver.com/item/main.nhn?code=011170,https://finance.naver.com/item/sise.nhn?code=011170,https://finance.naver.com/item/fchart.nhn?code=011170,https://finance.naver.com/item/frgn.nhn?code=011170,https://finance.naver.com/item/news.nhn?code=011170,https://finance.naver.com/item/coinfo.nhn?code=011170,https://finance.naver.com/item/board.nhn?code=011170,https://finance.naver.com/item/dart.nhn?code=011170,https://finance.naver.com/item/short_trade.nhn?code=011170
43,44,SK바이오팜,https://finance.naver.com/item/main.nhn?code=326030,r.com/item/main.nhn?code=326030,"119,000","93,193","342,935",코스피,https://finance.naver.com/item/main.nhn?code=326030,https://finance.naver.com/item/sise.nhn?code=326030,https://finance.naver.com/item/fchart.nhn?code=326030,https://finance.naver.com/item/frgn.nhn?code=326030,https://finance.naver.com/item/news.nhn?code=326030,https://finance.naver.com/item/coinfo.nhn?code=326030,https://finance.naver.com/item/board.nhn?code=326030,https://finance.naver.com/item/dart.nhn?code=326030,https://finance.naver.com/item/short_trade.nhn?code=326030
44,45,한화솔루션,https://finance.naver.com/item/main.nhn?code=009830,r.com/item/main.nhn?code=009830,"45,100","86,267","714,703",코스피,https://finance.naver.com/item/main.nhn?code=009830,https://finance.naver.com/item/sise.nhn?code=009830,https://finance.naver.com/item/fchart.nhn?code=009830,https://finance.naver.com/item/frgn.nhn?code=009830,https://finance.naver.com/item/news.nhn?code=009830,https://finance.naver.com/item/coinfo.nhn?code=009830,https://finance.naver.com/item/board.nhn?code=009830,https://finance.naver.com/item/dart.nhn?code=009830,https://finance.naver.com/item/short_trade.nhn?code=009830
45,46,KT,https://finance.naver.com/item/main.nhn?code=030200,r.com/item/main.nhn?code=030200,"32,750","85,514","1,097,199",코스피,https://finance.naver.com/item/main.nhn?code=030200,https://finance.naver.com/item/sise.nhn?code=030200,https://finance.naver.com/item/fchart.nhn?code=030200,https://finance.naver.com/item/frgn.nhn?code=030200,https://finance.naver.com/item/news.nhn?code=030200,https://finance.naver.com/item/coinfo.nhn?code=030200,https://finance.naver.com/item/board.nhn?code=030200,https://finance.naver.com/item/dart.nhn?code=030200,https://finance.naver.com/item/short_trade.nhn?code=030200
