순위,주식명,href,현재가,시가총액,거래량,PER,미래 PER,동일업종PER,시가배당률,PRB,당기순이익2017,당기순이익2018,당기순이익2019,당기순이익2020,부채비율2017,부채비율2018,부채비율2019,부채비율2020,당좌비율2017,당좌비율2018,당좌비율2019,당좌비율2020,유보율2017,유보율2018,유보율2019,유보율2020,sosok
72,한진칼,https://finance.naver.com/item/main.nhn?code=180640,"66,500","44,153","144,825",-14.10,-23.75,-31.99,-,2.78,-128.0,-2606.0,-3415,-2254.0,65.32,89.6,109.62,nan,104.41,108.69,123.06,nan,516.83,373.51,466.54,nan,코스피
73,이마트,https://finance.naver.com/item/main.nhn?code=139480,"156,000","43,486","293,662",11.67,12.71,"-1,601.84",1.32,0.45,4762.0,2238.0,3626.0,3631.0,89.15,106.68,112.83,nan,23.15,33.05,40.31,nan,5029.24,5044.76,5243.34,nan,코스피
74,현대차2우B,https://finance.naver.com/item/main.nhn?code=005387,"117,000","42,688","100,126",37.33,11.91,21.71,3.46,0.72,16450.0,31856.0,19246.0,61109.0,144.47,154.71,174.22,nan,52.21,46.57,44.87,nan,4747.59,4865.48,4909.48,nan,코스피
75,GS,https://finance.naver.com/item/main.nhn?code=078930,"45,650","42,416","180,368",-14.65,5.0,285.60,5.06,0.43,10305.0,6689.0,-1878.0,9301.0,115.02,124.53,127.55,nan,51.75,47.11,60.17,nan,2342.86,2422.9,2326.39,nan,코스피
76,신풍제약,https://finance.naver.com/item/main.nhn?code=019170,"79,800","42,282","1,269,163",1367.82,nan,105.77,0.08,17.02,28,54,50.0,nan,83.61,81.76,30.14,nan,122.24,126.47,339.65,nan,729.55,740.19,1341.62,nan,코스피
77,쌍용C&E,https://finance.naver.com/item/main.nhn?code=003410,"8,380","42,223","794,868",24.42,26.16,11.87,6.59,1.93,1470.0,1311.0,1382.0,1628.0,73.23,86.97,96.89,nan,118.82,87.79,124.5,nan,285.85,265.98,3389.32,nan,코스피
78,삼성중공업,https://finance.naver.com/item/main.nhn?code=010140,"6,630","41,769","6,621,057",-2.99,-4.97,-9.26,nan,1.14,-3882,-13154,-14927,-8433,111.72,159.10,247.54,nan,43.36,28.91,35.93,nan,145.91,104.71,57.72,nan,코스피
80,롯데지주,https://finance.naver.com/item/main.nhn?code=004990,"39,250","41,177","364,607",-18.84,12.4,15.88,2.83,0.39,1107.0,-4116.0,-2389.0,4645.0,227.48,100.27,113.0,nan,13.89,65.88,64.73,nan,48528.98,43217.52,42551.94,nan,코스피
82,CJ대한통운,https://finance.naver.com/item/main.nhn?code=000120,"177,000","40,378","44,279",30.69,18.58,13.66,-,0.99,666,509,1426,2492,151.33,149.23,138.70,nan,72.38,80.00,81.17,nan,2500.96,2489.33,2670.19,nan,코스피
83,팬오션,https://finance.naver.com/item/main.nhn?code=028670,"7,520","40,200","6,043,747",29.0,15.77,41.57,1.0,0.96,1486,1477,907.0,2558.0,54.84,53.62,66.01,nan,76.91,73.47,86.87,nan,379.25,407.45,424.79,nan,코스피
84,삼성증권,https://finance.naver.com/item/main.nhn?code=016360,"43,900","39,203","268,971",7.11,5.01,4.58,5.44,0.68,3341.0,3918.0,5078.0,7444.0,722.17,803.76,1101.22,nan,nan,nan,nan,nan,916.87,979.5,1059.72,nan,코스피
85,한미약품,https://finance.naver.com/item/main.nhn?code=128940,"323,500","39,073","26,273",370.15,64.97,105.77,0.13,6.02,342.0,639.0,173.0,726.0,114.28,132.74,126.24,nan,72.61,71.05,57.32,nan,2468.74,2542.54,2525.97,nan,코스피
86,현대오토에버,https://finance.naver.com/item/main.nhn?code=307950,"142,000","38,942","604,902",43.96,42.83,21.84,0.61,4.67,552,569.0,608.0,820.0,83.59,99.35,91.51,nan,187.22,184.11,189.97,nan,4269.97,4783.68,5251.77,nan,코스피
87,삼성카드,https://finance.naver.com/item/main.nhn?code=029780,"33,600","38,929","152,982",9.44,8.57,9.15,5.54,0.49,3453.0,3441.0,3988.0,4642.0,240.29,219.56,228.66,nan,nan,nan,nan,nan,1067.08,1087.44,1123.73,nan,코스피
88,대우조선해양,https://finance.naver.com/item/main.nhn?code=042660,"35,600","38,195","278,850",33.94,-20.08,-9.26,-,0.76,3201,-465,866,-1593,210.36,200.30,166.76,nan,30.22,72.82,54.22,nan,122.94,106.56,127.97,nan,코스피
89,호텔신라,https://finance.naver.com/item/main.nhn?code=008770,"95,500","37,482","541,954",-11.62,69.07,-18.22,0.24,5.0,1103.0,1694.0,-2833.0,552.0,201.12,283.59,363.79,nan,56.4,59.33,70.14,nan,335.96,411.78,269.18,nan,코스피
90,녹십자,https://finance.naver.com/item/main.nhn?code=006280,"318,500","37,222","38,621",58.54,27.34,105.77,0.37,4.14,342.0,-113.0,893.0,1428.0,53.03,65.47,69.49,nan,163.53,127.58,113.97,nan,1760.95,1737.88,1872.74,nan,코스피
91,효성티앤씨,https://finance.naver.com/item/main.nhn?code=298020,"847,000","36,655","48,135",6.68,5.93,18.09,2.37,1.52,315.0,1220.0,1683.0,7491.0,544.66,453.1,294.79,nan,45.66,45.6,52.94,nan,1964.55,2351.63,2919.94,nan,코스피
92,대우건설,https://finance.naver.com/item/main.nhn?code=047040,"8,650","35,951","8,461,944",7.30,6.97,8.77,-,0.77,2973,2012,2826,5008.0,276.83,289.74,247.62,nan,85.64,99.83,90.29,nan,25.78,35.52,50.88,nan,코스피
93,NH투자증권,https://finance.naver.com/item/main.nhn?code=005940,"12,750","35,880","393,091",5.88,4.91,4.58,6.19,0.58,3615.0,4764.0,5769.0,7588.0,957.08,828.68,981.16,nan,nan,nan,nan,nan,231.36,253.08,279.91,nan,코스피
94,DB손해보험,https://finance.naver.com/item/main.nhn?code=005830,"50,600","35,825","110,690",5.54,5.86,7.00,5.03,0.41,5378.0,3802.0,5611.0,5753.0,862.24,807.71,823.21,nan,nan,nan,nan,nan,14935.07,17342.64,18705.32,nan,코스피
95,두산인프라코어,https://finance.naver.com/item/main.nhn?code=042670,"15,450","35,720","9,686,312",11.20,11.24,-496.98,nan,0.72,3942,3957,2851,5195.0,188.66,165.69,167.92,nan,76.44,55.96,86.24,nan,121.27,135.69,145.85,nan,코스피
96,GS건설,https://finance.naver.com/item/main.nhn?code=006360,"41,400","35,431","719,070",9.72,5.94,8.77,3.17,0.73,5874.0,4475.0,3297.0,6117.0,231.98,217.91,219.35,nan,103.03,92.34,83.75,nan,830.57,906.31,964.41,nan,코스피
97,현대미포조선,https://finance.naver.com/item/main.nhn?code=010620,"86,000","34,350","237,967",-98.36,53.42,-9.26,-,0.82,1207.0,612.0,-123,701.0,49.48,43.61,52.02,nan,80.28,58.75,83.95,nan,950.86,964.36,943.80,nan,코스피
98,한국가스공사,https://finance.naver.com/item/main.nhn?code=036460,"37,000","34,156","526,593",-16.58,7.82,15.95,-,0.35,5267.0,583.0,-1607,4409.0,367.05,382.56,364.24,nan,68.33,73.83,84.91,nan,1628.52,1606.72,1561.89,nan,코스피
99,키움증권,https://finance.naver.com/item/main.nhn?code=039490,"130,000","34,048","139,931",4.57,4.76,4.58,2.37,1.11,1932.0,3620.0,7062.0,7679.0,803.5,960.2,1203.02,nan,nan,nan,nan,nan,1527.05,1709.66,2191.17,nan,코스피
100,씨에스윈드,https://finance.naver.com/item/main.nhn?code=112610,"79,000","33,315","268,052",104.75,34.68,-496.98,0.53,7.83,71.0,347.0,336.0,974.0,90.38,98.9,98.56,nan,105.7,98.07,103.17,nan,4081.14,4395.39,4963.19,nan,코스피
101,휠라홀딩스,https://finance.naver.com/item/main.nhn?code=081660,"54,600","33,171","500,053",19.11,13.14,18.09,0.42,2.03,2100.0,3381.0,1977.0,3563.0,119.34,109.35,102.36,nan,102.0,95.83,105.55,nan,1538.42,1930.66,2090.35,nan,코스피
102,한국항공우주,https://finance.naver.com/item/main.nhn?code=047810,"33,900","33,044","287,944",33.7,42.73,31.08,0.78,2.1,555.0,1683.0,723.0,743.0,256.71,269.11,317.98,nan,62.48,58.16,68.51,nan,111.68,138.83,149.63,nan,코스피
